baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A4GALT	155.132300976662	-0.954205487738247	0.113794174602645	-8.38536323208297	5.05693600984302e-17	9.33057900370578e-16
AAR2	282.015563269564	0.351187928409721	0.085825776863461	4.0918700796431	4.27908379708408e-05	0.000238519860786842
AARS	2303.2214285437	-0.323839011272235	0.0397324190084665	-8.15049824183193	3.62427912485876e-16	6.31727200613887e-15
AARS2	656.092504186999	-0.340208317844166	0.0553148982616345	-6.15039218250048	7.72915860781296e-10	8.10576919624358e-09
AASDH	96.9936253561989	-0.459133098615925	0.132113778527978	-3.47528549808826	0.000510309926583541	0.00230027275132103
AASDHPPT	363.536279504148	-0.276837468545949	0.0690177532927049	-4.01110519161466	6.04351739876518e-05	0.000328162669307747
AASS	23.3163712852978	0.655836155875706	0.257795945369142	2.54401268777368	0.0109587103931341	0.0347928703555315
AATF	1502.92313408578	0.29869293163242	0.0581929358374338	5.13280396209672	2.85457190356504e-07	2.22356707528761e-06
ABCA3	248.104603659186	-0.264615320776951	0.0951750846475007	-2.78030034600973	0.00543086433834301	0.0190410711250632
ABCA7	245.918446416126	-0.243765402097754	0.0983128051738099	-2.47948781104145	0.0131571226940828	0.0407963858197367
ABCB1	22.5268622920123	2.53707863316217	0.323635187915129	7.83931639048936	4.53005818057871e-15	7.36755510707507e-14
ABCB10	667.209252137259	-0.165734935111441	0.0624939467037195	-2.65201581678272	0.00800127936349879	0.0265616133207704
ABCB4	293.002829872329	2.10221804472396	0.0995405650745551	21.1192094715297	5.29739853733427e-99	7.41893307655696e-97
ABCB8	124.15196709604	-0.476251038831442	0.116977665074184	-4.0712988973529	4.67517140150747e-05	0.000259022477071981
ABCC10	243.180229170798	-0.458342454430372	0.0970298111442465	-4.72372819265814	2.31559860994048e-06	1.58515536886184e-05
ABCC6	145.032977279139	-0.542084961499664	0.116826821058993	-4.64007285814899	3.48286363030434e-06	2.32041330797316e-05
ABCC9	185.884035973407	0.327583085870554	0.119559685357122	2.73991257916138	0.00614555281496363	0.0212127301906461
ABCD2	16.3356624125473	-1.23587684413516	0.347413094808651	-3.5573697785222	0.000374586689333969	0.00173861674655884
ABCD4	187.37752286458	-0.282594708624792	0.099404299575304	-2.84288214727283	0.00447075986972432	0.0160658970585763
ABCE1	1399.37078644555	0.285581357205982	0.0453938722310898	6.29118740415343	3.15046711104504e-10	3.41404998540813e-09
ABCF1	895.89473154443	0.218931726006517	0.0631851917703072	3.46492144555618	0.000530386379304206	0.00237907075432116
ABCF2	1251.64112305878	0.13839062984955	0.0416094455696869	3.32594265448155	0.000881200561309753	0.00376029871348578
ABCF3	273.83087917781	-0.410660380966957	0.0863769697775807	-4.75428093882433	1.99153945755251e-06	1.37310688001578e-05
ABCG8	41.6834342882384	0.516355109569907	0.188389144956321	2.74089629574797	0.00612718429177873	0.0211595017245929
ABHD1	35.1189882473296	-0.773990727702842	0.213010909837346	-3.63357317375837	0.000279523125759898	0.00133077027318222
ABHD10	219.863340873446	-1.08949274855228	0.0911244142855531	-11.9561015244299	6.03282828315846e-33	2.33969323050878e-31
ABHD13	212.936961777683	0.444044467275371	0.0953262879464579	4.65815334721497	3.19058514761913e-06	2.13911338670329e-05
ABHD14B	253.336288460512	-0.248869389451954	0.0979601678251659	-2.5405161605697	0.011068897815604	0.0350929825887887
ABHD15	306.110233442169	-0.364776960237169	0.0924214129043021	-3.94688794267707	7.91735892471699e-05	0.000420182572196757
ABHD16A	478.458837116311	0.332725701413307	0.0682616672284692	4.87426860377855	1.09212311838624e-06	7.78538244202735e-06
ABHD17C	144.124862640363	0.422640486220897	0.113168770692658	3.73460349205965	0.000188011166075539	0.000929318918197401
ABHD5	161.233093708524	0.330949491375011	0.112479153422959	2.94231847683392	0.00325764709992576	0.0121458622784623
ABHD6	42.3920342720788	-0.567429142924705	0.196444121510552	-2.8885015166729	0.00387082162191346	0.0141654679882044
ABHD8	141.238215740401	-0.669928756812006	0.113540602113419	-5.90034528919265	3.6274162216006e-09	3.5494470131499e-08
ABI2	707.895946160348	0.595205949817174	0.0596245002885963	9.98257338738673	1.81692283510196e-23	4.83402147961757e-22
ABI3	19.4546260330144	-0.754971273491816	0.31259291988518	-2.41518993382553	0.0157270063399738	0.0474019633624647
ABL2	746.030285363325	0.930141316596156	0.0652129454705301	14.2631391648532	3.71366197707974e-46	2.07461000254203e-44
ABT1	127.217098744457	0.336212320271196	0.119384966542804	2.81620316198399	0.00485949261078867	0.0173225888078692
AC002996.1	97.8749467743646	-0.368384223245233	0.151809945770894	-2.42661455001891	0.0152404382400954	0.0461353824659268
AC003002.2	27.005501710209	-0.867933582812178	0.261928838161047	-3.31362361206875	0.000920953886622328	0.00391172641775748
AC003665.1	104.376229324752	-0.658539119557049	0.122560870544723	-5.37315961146625	7.73687854539757e-08	6.5012345677097e-07
AC004080.2	18.2376964035955	-1.23661363144101	0.32022840152609	-3.8616613190703	0.000112618613088844	0.00058056737478597
AC004156.1	62.5122225523438	0.489889509175291	0.169867624877434	2.88394866019211	0.00392722773049457	0.014329763795765
AC004233.2	4.09392696878885	3.83930969009642	0.955559443000297	4.01786588811433	5.87276035621132e-05	0.000319232873695956
AC004233.3	7.66534474345088	3.05133383665315	0.622477219351934	4.90192049088948	9.49042495530306e-07	6.81600427612524e-06
AC004542.1	160.628337071386	0.32260819719591	0.120501216337247	2.67721942567804	0.00742359996929567	0.0249145848861351
AC004817.4	72.6312207105353	0.490623349688118	0.152411598528357	3.21906832829939	0.00128607835880532	0.0052834268205392
AC004825.2	4.88598529421486	2.99237899812103	0.769037291384068	3.89107138450402	9.98025631933182e-05	0.000521024667853908
AC005280.2	32.7778553714631	2.09629788679162	0.255778370601795	8.19575901535165	2.49016784137606e-16	4.38595762943502e-15
AC005332.6	394.831820470558	-0.188387467677222	0.0741564505802154	-2.54040567210592	0.0110723956671349	0.0350985544512903
AC005776.2	83.6725194059359	1.62044241928319	0.173216170526473	9.3550296970428	8.35762348065672e-21	1.93956493365252e-19
AC005972.3	38.8461046081504	0.62085638864939	0.210361510825981	2.95137825456572	0.00316359234173914	0.0118345699788264
AC006033.2	36.405386866931	-0.592516930704371	0.205998963687019	-2.87631024981563	0.00402354025215236	0.0146361356899633
AC006213.1	103.318178234534	-1.03083157631678	0.128205191152488	-8.04048234747924	8.94855220212183e-16	1.51779186089311e-14
AC006273.1	16.6573965094214	0.823502331224226	0.310723598317954	2.65027289746291	0.00804267779383759	0.0266683135594085
AC006305.1	26.2023576182407	0.872222346564605	0.315847647669606	2.76152870854051	0.00575314584147236	0.0200075344343806
AC006480.2	35.786475220245	0.628754145527022	0.240686371855477	2.61233795947768	0.00899253101863019	0.0293878420114592
AC006504.5	201.017864081089	-0.825927849254747	0.0913465262943253	-9.0416995890303	1.54254510610871e-19	3.32001143595457e-18
AC007064.2	2.91088002984502	2.16719074125785	0.875038448030495	2.47668059173363	0.0132610518405518	0.0410681253790554
AC007878.1	93.6826744647127	0.671028192782871	0.141317237108846	4.74838177218274	2.05050697603069e-06	1.41086912949884e-05
AC007907.1	19.250841605762	-1.67589441333808	0.327444882336466	-5.11809621631531	3.08635152732078e-07	2.38988720396047e-06
AC007950.1	645.524473521929	0.291408027471854	0.0604461126497509	4.82095563631013	1.42872131143552e-06	1.00323895152229e-05
AC008074.2	44.1590035412925	1.273467106237	0.19857333123466	6.41308225187655	1.42606527105791e-10	1.5977476845236e-09
AC008393.2	388.806028361135	1.8942991469819	0.122265733761648	15.493295535074	3.85037137086446e-54	2.48084471042248e-52
AC008403.2	62.8572040411628	1.12709765798276	0.170685541402036	6.60335754701081	4.01948527259968e-11	4.75430847463447e-10
AC008554.1	203.184628870057	-0.473053356256284	0.0930243753046978	-5.08526238103524	3.67118193067571e-07	2.81187717417156e-06
AC008676.3	2.53616580192676	-2.8142758039778	1.06869220260123	-2.63338293020926	0.00845389741270176	0.0278487012613454
AC008758.5	9.33686349353793	-1.64901739248437	0.498187802028444	-3.31003165025349	0.000932854223107385	0.00395477635430032
AC008875.1	10.0451661624871	-1.22356580224255	0.43179523994032	-2.83367135406974	0.00460166297328009	0.0164951541383113
AC008878.3	206.27083118497	-1.30310667774033	0.289946970723026	-4.49429312708748	6.98014232236728e-06	4.41142369837609e-05
AC008897.3	22.937339098093	1.33967409326458	0.354108954612472	3.78322568750256	0.000154808923403652	0.00077488993752332
AC009120.3	48.7604873899653	0.598328179323477	0.187427870438146	3.19231167661874	0.00141138946864429	0.00575252453802532
AC009387.1	8.95224297450443	-1.15120323315387	0.448073694979351	-2.56922744194327	0.010192553624731	0.0327366187211261
AC009404.1	244.106199316728	0.642542119755174	0.251049431730558	2.55942471299752	0.0104845562946784	0.0335462552427064
AC009478.1	1.55548763600772	3.62047604970658	1.25930103911204	2.87498853511585	0.00404042168972617	0.014692243818375
AC009812.3	89.5543517438924	0.466422482164358	0.141705335012341	3.29149556806551	0.000996561869787118	0.00419225348936103
AC010198.2	221.500825387901	0.888064018912887	0.0962206612816352	9.22945245942084	2.72018820356873e-20	6.09533727793006e-19
AC010325.1	2.7087604559083	2.38937349357088	0.941480850304739	2.53788857500127	0.011152348558378	0.0353242364342405
