CTL_S1	CTL_S2	CTL_S3	CTL_S4	CTL_S5	PMA_S6	PMA_S7	PMA_S8	PMA_S9	PMA_S10
A1BG	5.92552120919854	5.85462043111966	6.04724683229368	6.17983484150985	5.93433627703652	6.25090074957796	6.54290807481083	5.9500714987217	5.95261564308617	5.83840265091689
A1CF	3.25694238383666	4.01199109092771	3.02889778966716	3.33975924896775	2.91364840219979	2.46672715200977	2.66239093912885	3.67086339783123	3.25345656946892	3.99106115714728
A2M	6.00567872733712	5.6243659626961	5.55795009127756	5.88289858935815	5.63994233300787	5.53481549167762	5.74784163124004	5.76953036727672	5.63074578398207	5.60712095442391
A2ML1	3.88444086106013	3.73207477780239	3.44349331977125	4.00219917586244	4.0825093424226	3.84363181862387	-6.64385618977472	4.67029691100784	2.7395316013284	4.08411385489177
A3GALT2	0.804286080573775	-0.0612346938358584	-6.64385618977472	-6.64385618977472	-0.0730112380425258	0.155200871433709	-6.64385618977472	1.45261843044882	-0.054920014195448	0.0968170100787238
A4GALT	7.71493271464721	7.7502492467675	7.50113992598121	7.63608664588257	7.73197935106342	6.82881428586656	7.06960863289543	6.61740972778926	6.46933650462902	6.62256822023105
A4GNT	-0.187475957569146	1.51365775817632	0.865146181935228	-0.22961308198715	0.919380810664841	1.14870853146034	0.669211330326305	0.87028902420983	-6.64385618977472	0.0968170100787238
AAAS	8.22650152829556	8.29871899884783	8.16559337378388	8.33084470558739	8.4854199686018	8.21369780276897	8.31120740365904	7.92852368891549	8.16846974774388	8.28298165106147
AACS	8.14477993814541	8.07850523205032	8.09566157854062	8.05720598400449	8.03590880936383	8.16460493542687	8.05248205711315	8.0767478370532	8.30509990866226	8.09454302459291
AADACL3	0.804286080573775	-0.0612346938358584	1.44746617649295	-0.22961308198715	-0.0730112380425258	0.155200871433709	-6.64385618977472	-0.12184040444295	0.937567088924787	1.67275765934632
AADAT	3.49771828517751	3.62524308651621	3.44349331977125	3.56194808827986	3.81964523913126	2.72932651712938	3.46876888211048	3.44865975601647	3.63161903875929	3.40655222937901
AAGAB	8.42903786471373	8.2900020594156	8.28770281751348	8.34213016399281	8.39961528174586	8.26117493966652	8.21474770493286	8.21557063938812	8.39358213705201	8.05486079508849
AAK1	10.8135132262834	10.8184595037578	10.8487337677837	10.7916123442592	10.7851848145523	10.8330657607418	10.6502232322987	10.9564602255401	10.8607599591811	10.9303277266732
AAMDC	5.84064669723937	5.85462043111966	6.19725072963314	6.02037988736642	5.91197215022412	6.44613306134945	6.11974939057969	6.43239794119563	6.19699806673721	6.06075905193092
AAMP	9.16234820183256	9.04778232316499	9.01710328117043	9.06854750305439	9.06150664792838	9.05210710498522	9.40496541021685	8.92039677875079	9.10496674646352	9.17075086153115
AANAT	-0.187475957569146	1.51365775817632	-0.126955216858632	2.07871842816194	2.49924896315255	0.155200871433709	0.669211330326305	2.44998052145953	0.937567088924787	-6.64385618977472
AAR2	8.0439829862845	7.95711480973404	7.91795968432898	8.02021318338888	7.79444056256379	8.40432427036618	8.38807381031787	8.16163368117023	8.13951939048252	8.41869550234238
AARD	5.00590324540901	5.13349817159713	4.76462552878297	5.00174895013682	5.26965856043395	4.66631707408102	5.11995684141201	5.41730177216536	5.01792304928918	5.08368848397779
AARS	11.3577715695675	11.3546144332844	11.3699500124053	11.2371928241354	11.2835149585315	10.9955034646993	11.0631290576752	10.9438660416189	11.0041633502938	10.9879047130108
AARS2	9.49472547317607	9.40343531945735	9.55766296076897	9.5687733634341	9.55560788771799	9.12805456447014	9.20702916220224	9.21333876565982	9.14678617357765	9.19442328311564
AARSD1	7.94580644185559	7.5747611181391	8.06182923491446	7.45389307751225	7.86599067914263	8.0491319078878	7.95478919062474	7.60391642755016	7.60956883446522	7.62249501133135
AASDH	6.87293949839048	6.76925606746565	6.78807198733679	6.78692472703293	6.84259557331624	6.60176700958267	6.2148933810647	6.47724706339155	5.99633006683203	6.38721610386659
AASDHPPT	8.63838735691483	8.63791548572431	8.54374328534496	8.6782187929172	8.69312709693305	8.38540397060071	8.29678078951102	8.33409520028498	8.46143725322719	8.31212707036322
AASS	4.18910935816211	4.447856911822	4.17992837214149	3.92424668026986	4.16046703462385	4.6022125620319	4.66068079132524	5.25507053334686	4.73791054320449	4.78422637576989
AATF	10.4398673848131	10.3717609452373	10.5127446964318	10.4266906276281	10.2155254085637	10.6108201115281	10.6657437215762	10.637171397954	10.830889591904	10.719896162079
