baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA9	60.1856714328207	-0.525275994313934	0.171873142207335	-3.05618427386566	0.00224173435395151	0.0341504965543481
ABCB1	43.7776289941005	0.576491451546409	0.198320667294825	2.90686522695787	0.0036507044860428	0.0477985751680695
ABCC6	94.0696173483532	-0.430070866684965	0.132968095475439	-3.23439141658161	0.00121902264017555	0.022346748866728
ABHD10	113.77147504387	-0.37484195266555	0.123298971709637	-3.04010607280882	0.00236494840724506	0.0353603582224012
ABHD17C	169.443689972872	0.319699025597413	0.109681178628017	2.91480297345883	0.00355913158528584	0.0469038548742077
ABHD2	951.858355289105	0.205082151411587	0.0549059318112348	3.7351547391392	0.000187599798888362	0.00548797382690085
ABI2	848.736639783689	0.241519659670244	0.0528068911006237	4.57363905801665	4.79325295377086e-06	0.000296179012873056
ABL2	974.214728164496	0.240511948033442	0.0669675624955493	3.59146934830466	0.000328818854526522	0.00816050235075965
AC007325.1	59.4485595950867	-0.812001823733109	0.188779989145996	-4.30131301207531	1.69789017460152e-05	0.000846220078378559
AC009812.3	80.4137992071575	-0.529880351174219	0.153173605188269	-3.45934503874169	0.00054149075787981	0.0119236264885134
AC011462.1	2110.99787231935	0.229110269142344	0.0470814686992085	4.86625153106567	1.1373475219543e-06	8.71798470784082e-05
AC012313.1	259.830069882551	-0.253350567953894	0.0867940769027572	-2.91898453206368	0.00351173648456164	0.0466344743032084
AC012314.10	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
AC012314.17	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
AC012314.29	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
AC012314.31	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
AC012314.4	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
AC012314.40	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
AC016383.2	99.7652862457801	-0.714299010339703	0.181322505387853	-3.93938418626966	8.16910249263505e-05	0.0028844314952858
AC091074.1	161.210617614634	-0.397710113713892	0.134058752401701	-2.96668517787015	0.00301029023592434	0.0420503172402303
AC119396.1	97.6096739095436	-0.550481812139247	0.13153692425888	-4.18499835875618	2.85168161631434e-05	0.00129350996461359
AC124319.1	1517.36402813811	-0.212119604291069	0.0489273648773441	-4.33539809108525	1.45496569352885e-05	0.000743505886680502
AC139768.1	45.269136715352	0.574032468664199	0.189606614127	3.02749179561693	0.00246592407895854	0.0363318814115169
ACACB	318.363165724072	-0.286159446166202	0.0791584724089503	-3.61501981351837	0.000300324651883015	0.00764124340116638
ACOT11	562.489601444213	-0.191117482764543	0.0654609764891412	-2.91956357840531	0.00350521885491062	0.0465990181688502
ACSL1	516.760597143558	0.240520091835854	0.0621407555836286	3.87056915508798	0.000108581548403657	0.00366303936689885
