PMA_S6	PMA_S7	PMA_S8	PMA_S9	PMA_S10	MOTScPMA_S11	MOTScPMA_S12	MOTScPMA_S13	MOTScPMA_S14	MOTScPMA_S15
A1BG	6.11277870041613	6.40629219616399	5.82879640466837	5.81847825242307	5.71021732287193	5.92044766601832	6.17759882916777	6.03004441681702	6.06727681070503	5.84368126338515
A1CF	2.32884829733053	2.52598604255754	3.54966718728011	3.11944389949625	3.86293671371409	2.96785831199238	1.89587916597509	3.59044921303879	2.65431760128658	3.00872236875359
A2M	5.39670567699964	5.61123705158586	5.64825800177495	5.4966140674809	5.47893970073519	5.61016471233232	5.35178223402416	5.71290852889943	5.92528006260239	5.81454004461968
A2ML1	3.70559170955205	-6.64385618977472	4.54905104504364	2.60558201306896	3.95598414488554	2.96785831199238	3.06364885662817	3.68990503889408	3.7685603337388	4.00782584088209
A3GALT2	0.0183610495118494	-6.64385618977472	1.33178511983294	-0.187620331848231	-0.0301385387384011	-6.64385618977472	-6.64385618977472	-6.64385618977472	1.07393110439621	-6.64385618977472
A4GALT	6.6906859536457	6.93298805331669	6.49612705378139	6.33519227992891	6.49437306666428	6.35850639128287	6.72502368267683	6.66468136959038	6.276701101658	6.40919696074799
A4GNT	1.01122115929689	0.533481007972194	0.74968551987077	-6.64385618977472	-0.0301385387384011	-0.019291112903031	-0.0925374711927067	-0.201419256271933	0.0807680102565484	-6.64385618977472
AAAS	8.07556160114752	8.17458066722289	7.80723332084996	8.03431454235174	8.15477719502319	8.11581226433638	7.93645029893692	7.94182612337646	8.11696216135071	8.01980838376487
AACS	8.02646890283558	7.91585620689681	7.95545696184502	8.17094426171335	7.96633916917152	8.01046320419797	7.99534163226172	8.10837787621543	7.94976304699106	8.19397653655886
AADACL3	0.0183610495118494	-6.64385618977472	-0.241759707872038	0.804140879500438	1.54496937782998	-6.64385618977472	0.89975062973419	0.790262546892923	0.0807680102565484	1.78871796825109
AADAT	2.59140402662592	3.33226706963204	3.32748008822739	3.49757237707659	3.27846990293886	3.66758862620727	3.47825490708904	2.78399227317383	2.87638260913791	2.78662866627804
AAGAB	8.12303857995895	8.07812128047482	8.09427933420435	8.259426225668	7.92665707646019	8.00498828686198	8.20945863931258	8.03461656393398	8.28627637764497	8.18830798043034
AAK1	10.6949254705483	10.5135928757645	10.8351653002383	10.7266006231288	10.8021196531197	10.5158076574394	10.7264768501873	10.6060685771859	10.6426099157258	10.5136004062413
AAMDC	6.30800860289158	5.98313875078929	6.31111703060918	6.06285713869111	5.93257037689944	6.01063103853919	5.64717269256351	5.93187957034391	5.71119324134362	6.34949788721085
AAMP	8.91396875111184	9.2683362759153	8.79910382833771	8.97080920766302	9.04254442731843	9.07194845139956	8.98742273263897	8.94934344200068	9.09775511232019	9.1537954724769
AANAT	0.0183610495118494	0.533481007972194	2.32891652660244	0.804140879500438	-6.64385618977472	-0.019291112903031	2.21703171986152	0.790262546892923	1.07393110439621	3.37089406008587
AAR2	8.26618746431939	8.251446839784	8.04034253814904	8.00536428414191	8.29049065983609	8.00498828686198	8.25398831783784	8.09936133061263	8.09502040489491	8.03251894791085
AARD	4.5282330806361	4.98336680388969	5.29603582117855	4.88380635030983	4.95551926085964	5.05391034845421	4.64746054031523	4.82679867083468	5.15492947808484	4.59248937513098
AARS	10.8573630898815	10.9264984791937	10.8225711219004	10.8700039427035	10.8596966125767	10.8263321362087	10.7708228270618	10.8799358500019	10.8435025282356	10.9477739871801
AARS2	8.98991607054708	9.07040033877422	9.09204533531149	9.01262856182664	9.06621681104157	9.01043522990943	8.88354967797501	8.97914139266016	8.9679572629688	9.11547922264205
AARSD1	7.91099629630499	7.81816371860062	7.48262737006021	7.47541594120352	7.49429305459724	7.2607279634165	7.88641169501834	7.53016701216532	7.15462574428765	7.84349283739002
AASDH	6.46364085087777	6.07828142602474	6.35596570434172	5.86219199862495	6.25902336137558	6.61001702647344	6.38402313154625	6.27393565648487	6.17578567678778	6.08242980103467
AASDHPPT	8.24726722103856	8.16015409841851	8.21280355935478	8.32728114976122	8.18392252823607	8.22344924836972	8.15883430693868	8.19979769399217	8.13320222064059	8.44278927873556
AASS	4.46413116253074	4.52410620142343	5.1338081065298	4.60380313909997	4.6560662732265	4.82450338075022	4.75051433355548	4.95228718974506	4.82245911852584	4.00782584088209
AATF	10.4726799536903	10.5291133555	10.5158766303984	10.6967302716689	10.591688196419	10.681983907669	10.7057871144141	10.7178063598695	10.598452409903	10.6620850097364
AATK	5.91117610949593	5.98313875078929	5.82879640466837	5.70302233863277	5.83794951671156	5.66673688078473	5.77490384324464	5.36720818388231	5.84867173023481	5.81454004461968
AB015752.1	1.59379582268042	-6.64385618977472	-0.241759707872038	1.80000377429144	1.54496937782998	0.973379723278338	-0.0925374711927067	-6.64385618977472	0.0807680102565484	0.212082549099138
ABAT	5.6481896500616	5.61123705158586	5.67210002798411	5.67877948636389	5.57006778367237	5.3239253600945	5.21431403853348	5.17461303786693	5.5592207454693	5.81454004461968
ABCA1	9.73368344672702	10.074239210606	10.0276513005288	9.77315118269922	9.70661555219136	9.80523304911324	9.6929146159977	9.86804777456739	9.83194906439471	9.69144437845566
ABCA10	5.55894067399339	4.7719347079757	5.29603582117855	5.15381208236514	4.86244085339746	4.82450338075022	5.02172447467925	4.95228718974506	5.52680622167977	5.10688313833487
ABCA12	4.46413116253074	3.52473308733478	4.69583279273771	4.3815096016588	4.81354835438553	4.49021715992248	4.41623510170517	3.48362613558771	3.87539992261579	3.90097962043107
ABCA13	4.5282330806361	4.10927769438284	3.64912072373491	4.18896340083453	4.47926314589783	3.4267869347356	3.89296873505867	4.24209032303482	4.4600347123614	4.10730172609468
