baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	66.869627270194	0.112452289906802	0.161666863884508	0.695580326139909	0.486691690532231	0.664569580787665
A1CF	10.1447073408349	-0.00988651181801849	0.405836557823543	-0.0243608211912666	0.980564799204072	0.990087488405164
A2M	52.2404717170567	-0.0968097168639293	0.171597099946247	-0.564168723680382	0.572639311025392	0.73572248871852
A2ML1	13.5269906740523	-0.129300496926451	0.433271242899041	-0.298428522653142	0.76537612235355	0.872546085896215
A4GALT	155.132300976662	-0.954205487738247	0.113794174602645	-8.38536323208297	5.05693600984302e-17	9.33057900370578e-16
A4GNT	1.49139597012755	-0.320387995492675	1.00292702867883	-0.319452947553647	0.749383065985889	0.862701694927356
AAAS	303.914607612379	-0.125000691711918	0.087681311969945	-1.42562524332169	0.15397654567363	0.298093980666228
AACS	276.763579748361	0.0627066532209109	0.078519068404646	0.798616877339321	0.424512598327619	0.609074101484995
AADACL3	1.42816476929414	0.0421074672388168	1.00895028843641	0.0417339364698251	0.966710800128517	0.982113922239909
AADAT	11.1964200288985	-0.222887152192671	0.358875254233786	-0.621071387796144	0.534552653938281	0.706258082545421
AAGAB	313.563984893108	-0.117067559213647	0.0778302172101229	-1.50414020942011	0.132545268921555	0.26645139935616
AAK1	1821.62177928664	0.0422373243167615	0.0506495002841517	0.833913939521682	0.404329481568614	0.590321628523437
AAMDC	69.6785967248494	0.295146924231389	0.151852141906588	1.94364676405387	0.0519380624315425	0.127792286395117
AAMP	551.167719592384	0.0583785140007907	0.0752020978050006	0.776288370999523	0.437578737799086	0.621238818986543
AANAT	2.45206244422966	-0.471287144285385	0.870869108255423	-0.541168747194966	0.588391276763361	0.748365721398001
AAR2	282.015563269564	0.351187928409721	0.085825776863461	4.0918700796431	4.27908379708408e-05	0.000238519860786842
AARD	33.4143629065062	0.0435437031294723	0.216393353545039	0.201224771538139	0.840522822746011	0.915271261680281
AARS	2303.2214285437	-0.323839011272235	0.0397324190084665	-8.15049824183193	3.62427912485876e-16	6.31727200613887e-15
AARS2	656.092504186999	-0.340208317844166	0.0553148982616345	-6.15039218250048	7.72915860781296e-10	8.10576919624358e-09
AARSD1	221.280895413803	-0.0237042068457131	0.125079405950567	-0.189513266916868	0.849690558008834	0.920581792380152
AASDH	96.9936253561989	-0.459133098615925	0.132113778527978	-3.47528549808826	0.000510309926583541	0.00230027275132103
AASDHPPT	363.536279504148	-0.276837468545949	0.0690177532927049	-4.01110519161466	6.04351739876518e-05	0.000328162669307747
AASS	23.3163712852978	0.655836155875706	0.257795945369142	2.54401268777368	0.0109587103931341	0.0347928703555315
AATF	1502.92313408578	0.29869293163242	0.0581929358374338	5.13280396209672	2.85457190356504e-07	2.22356707528761e-06
AATK	65.1097278562846	-0.0837322392242401	0.157107302203236	-0.532962109653714	0.594059809436572	0.752632502632702
AB015752.1	1.47361585941696	1.69371021926239	1.12569102641616	1.50459600326976	0.13242797445492	0.266295239887564
ABAT	58.860511218801	-0.21130209849468	0.156513667611905	-1.35005524896797	0.176998261509076	0.331305579653237
ABCA1	989.821884025024	0.103146455408778	0.0704458532015706	1.46419484925024	0.143140717173023	0.282181705105412
ABCA10	45.2324959859226	-0.3802548315744	0.190646976200802	-1.99454950270961	0.0460920357987307	0.116279470346885
ABCA12	24.9888995423415	-0.112875094557386	0.252683503639037	-0.446705435581702	0.655087756695843	0.797967793505984
ABCA13	20.0382015963161	0.0565511749197613	0.276268220547405	0.204696634334956	0.837809150143515	0.914036866979557
ABCA2	1692.57224090956	0.028634437758754	0.0423929621637485	0.67545262933384	0.499388237906528	0.67555423892279
ABCA3	248.104603659186	-0.264615320776951	0.0951750846475007	-2.78030034600973	0.00543086433834301	0.0190410711250632
ABCA5	157.686763567523	0.0402304916982273	0.104556420862698	0.384773038004596	0.700405576624348	0.829608763258351
ABCA6	14.6337750248712	-0.0672896990404596	0.321724929458455	-0.209152890805587	0.834328886731985	0.912683426308336
ABCA7	245.918446416126	-0.243765402097754	0.0983128051738099	-2.47948781104145	0.0131571226940828	0.0407963858197367
ABCA9	72.0476648181164	0.232641593572926	0.157936103307464	1.47301084869765	0.140748110525238	0.278663572056005
ABCB1	22.5268622920123	2.53707863316217	0.323635187915129	7.83931639048936	4.53005818057871e-15	7.36755510707507e-14
ABCB10	667.209252137259	-0.165734935111441	0.0624939467037195	-2.65201581678272	0.00800127936349879	0.0265616133207704
ABCB11	21.7824440616197	-0.236201326845345	0.314903931170401	-0.75007423999903	0.453209993113219	0.635552877485174
ABCB4	293.002829872329	2.10221804472396	0.0995405650745551	21.1192094715297	5.29739853733427e-99	7.41893307655696e-97
ABCB5	15.0674083540635	0.198129100714122	0.328837235441859	0.602514190486656	0.546831920193519	0.715965121518524
ABCB6	24.4426064610389	-0.0925939516682005	0.261820789677961	-0.353653931691562	0.723598251276835	0.844931152423133
ABCB7	423.235576985812	-0.0189832747807923	0.0641382526976009	-0.295974305229278	0.767249704192115	0.873595572744037
ABCB8	124.15196709604	-0.476251038831442	0.116977665074184	-4.0712988973529	4.67517140150747e-05	0.000259022477071981
ABCB9	174.553377587086	-0.221649686596999	0.0977897356776069	-2.26659459769616	0.0234150024156705	0.066517869237474
ABCC1	806.101812419141	0.00985641889047365	0.0592583859403219	0.166329520017637	0.867897635990639	0.931500352582396
ABCC10	243.180229170798	-0.458342454430372	0.0970298111442465	-4.72372819265814	2.31559860994048e-06	1.58515536886184e-05
ABCC11	4.4587396013313	0.409681598591275	0.671419961847356	0.610171907108734	0.541747937221005	0.712350337457135
ABCC2	12.0343366022306	-0.347163501309275	0.358088141711302	-0.969491755996669	0.33229989149322	0.518250089841758
ABCC3	44.2685046819289	-0.435962139828822	0.197141597828437	-2.21141628469613	0.0270070231754195	0.0748043725283182
ABCC4	537.021444935804	-0.0129987939155552	0.0623481733085748	-0.208487165313109	0.83484860306004	0.912986919251224
ABCC5	109.759809162439	-0.282875498849401	0.125103106832394	-2.26113887985516	0.0237506584541574	0.0673386094538158
ABCC6	145.032977279139	-0.542084961499664	0.116826821058993	-4.64007285814899	3.48286363030434e-06	2.32041330797316e-05
ABCC8	3.48324176673206	-0.393633998534934	0.718244523563582	-0.548050121679888	0.583657487695504	0.744693189570747
ABCC9	185.884035973407	0.327583085870554	0.119559685357122	2.73991257916138	0.00614555281496363	0.0212127301906461
ABCD1	668.141263042565	-0.046177452771165	0.0544308991515568	-0.848368362289754	0.396232856433044	0.58298013429057
ABCD2	16.3356624125473	-1.23587684413516	0.347413094808651	-3.5573697785222	0.000374586689333969	0.00173861674655884
ABCD3	671.894182977472	0.0553385586232843	0.0623210461550528	0.887959397947264	0.374562591969998	0.561662859116585
ABCD4	187.37752286458	-0.282594708624792	0.099404299575304	-2.84288214727283	0.00447075986972432	0.0160658970585763
ABCE1	1399.37078644555	0.285581357205982	0.0453938722310898	6.29118740415343	3.15046711104504e-10	3.41404998540813e-09
ABCF1	895.89473154443	0.218931726006517	0.0631851917703072	3.46492144555618	0.000530386379304206	0.00237907075432116
ABCF2	1251.64112305878	0.13839062984955	0.0416094455696869	3.32594265448155	0.000881200561309753	0.00376029871348578
ABCF3	273.83087917781	-0.410660380966957	0.0863769697775807	-4.75428093882433	1.99153945755251e-06	1.37310688001578e-05
ABCG1	18.0535759781923	-0.209771639017458	0.314137894351307	-0.667769291096304	0.504280871742438	0.680028909423588
