n	es	nes	pval.es	pval.nes	fdr
GO_ACTIN_FILAMENT_BASED_PROCESS	449	0.386179801950291	1.53185082915065	7.33825999965632e-09	7.28122906412665e-09	1.82524369251582e-07
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	56	0.579142354672522	1.77585943484664	0.00231226059294254	0.00231226122606176	0.0254262777200398
GO_ACTIVATION_OF_MAPK_ACTIVITY	136	0.458329032668462	1.60303926116711	0.00395961599450845	0.00395739551952956	0.0390850615918813
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	278	0.429479656281737	1.64737510680761	1.23458547829358e-08	1.228428325728e-08	3.0030504028954e-07
GO_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	72	0.560335916071393	1.68391056663936	0.00390487328679223	0.00390301259601722	0.0386770896449546
GO_ADHERENS_JUNCTION_ORGANIZATION	70	0.516726329701936	1.62390529936114	0.00483477474600713	0.00483438255699453	0.0452534924164235
GO_ADIPOSE_TISSUE_DEVELOPMENT	31	0.667667180304885	1.76325210609797	0.00363879968755842	0.00363836223305647	0.0373673975429877
GO_AGING	263	0.420112794232929	1.59452759765068	0.0023120916987428	0.00231173781273397	0.0254262777200398
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	110	0.513036886623992	1.75655668295544	3.94174609619213e-08	3.92660277626078e-08	9.21816746998364e-07
GO_ALCOHOL_METABOLIC_PROCESS	347	0.35925739639771	1.38331288633711	0.0050130457165708	0.00501402928532368	0.0464937261002742
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	956	0.40483985038972	1.70034876904515	2.22044604925031e-16	0	0
GO_ANCHORED_COMPONENT_OF_MEMBRANE	151	0.494317437214532	1.71042064612943	0.000488632959614765	0.000488505570950815	0.00715346276669559
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE	42	0.628949934939606	1.71933923319901	0.00412925377349138	0.00412929497301706	0.040311731122721
GO_ANCHORING_JUNCTION	488	0.337727115493661	1.36081999583244	0.00126674358707102	0.0012662168481522	0.0164274975299746
GO_ANGIOGENESIS	292	0.47006689313496	1.80216549759196	0	2.22044604925031e-16	7.81914215914575e-15
GO_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	193	0.465343504446078	1.68067356924884	0.00070730598660329	0.000707258958940749	0.01003391846785
GO_APOPTOTIC_MITOCHONDRIAL_CHANGES	56	0.59998157002642	1.84332251966322	0.00176502212064855	0.00176520830152094	0.0207613763654033
GO_APOPTOTIC_SIGNALING_PATHWAY	288	0.45612411214477	1.74983680291641	3.20806041131938e-06	3.19970042439444e-06	6.35501165674211e-05
GO_BEHAVIOR	515	0.377135294719928	1.50821964372019	5.96888094506198e-11	5.89963633501611e-11	1.60839855105785e-09
GO_BIOLOGICAL_ADHESION	1031	0.393014801293351	1.65047811848297	2.22044604925031e-16	0	0
GO_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION	23	0.689959635123809	1.74135829716577	0.00293194019575138	0.00293132194456436	0.0310783165305425
GO_BLOOD_VESSEL_MORPHOGENESIS	363	0.497393061404942	1.94891695038091	0	2.22044604925031e-16	7.81914215914575e-15
GO_BONE_MORPHOGENESIS	78	0.528577615553221	1.69944169052831	0.000341912873941141	0.000341719634140425	0.00526461811347592
GO_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE	130	0.460094258274942	1.60394458927795	0.00186321711093129	0.00186276040214872	0.0216080206649252
GO_CALCIUM_ION_IMPORT	64	0.576313387435808	1.74334238668481	0.00193809739080508	0.00193687576659596	0.022163553259539
GO_CALCIUM_ION_IMPORT_INTO_CYTOSOL	41	0.611639503642128	1.75411042094711	0.00318321635412577	0.00318069050001468	0.0333043628284723
GO_CALMODULIN_BINDING	178	0.44499111598139	1.59298440456961	0.00129718345156438	0.00129749960806758	0.0167233282817599
GO_CAMERA_TYPE_EYE_MORPHOGENESIS	100	0.515043313521094	1.73104761202948	0.00181297544791925	0.00181273755558153	0.0211939829620956
GO_CAMP_BIOSYNTHETIC_PROCESS	16	0.770959331686315	1.82290749605126	0.00145256506857494	0.00145197636344996	0.0182375629854988
GO_CAMP_METABOLIC_PROCESS	33	0.694181177031197	1.89514421112766	0.00242710367482923	0.00242793337446878	0.0265885253978215
GO_CARDIAC_SEPTUM_DEVELOPMENT	84	0.513719517222129	1.66737869992652	0.000796286519107126	0.000795985359630436	0.0110667153240122
GO_CARDIAC_SEPTUM_MORPHOGENESIS	48	0.569141915792353	1.64184941344024	0.00360226940320518	0.00360161219948474	0.0373154777095477
GO_CCR_CHEMOKINE_RECEPTOR_BINDING	34	0.802793229991345	2.03901837436521	4.19715229016404e-07	4.18714389827102e-07	8.87854598644134e-06
GO_CELL_ACTIVATION	567	0.371509907231243	1.51053162672976	0.000822823545132745	0.00082146500142033	0.0112756077689157
GO_CELL_CELL_ADHESION	607	0.348311866096474	1.42263380311645	3.43485229283846e-05	3.5237400672794e-05	0.000618588909140206
GO_CELL_CELL_SIGNALING	766	0.391121466521978	1.60234682640263	2.22044604925031e-16	0	0
GO_CELL_CHEMOTAXIS	161	0.547785651508906	1.91298629837391	0	0	0
GO_CELL_DEATH	1000	0.380382976055655	1.61510819355781	2.22044604925031e-16	0	0
GO_CELL_DEVELOPMENT	1425	0.379499639303895	1.62622708618856	0	0	0
GO_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT	35	0.725527097128992	1.95670674389364	9.85350624412851e-05	9.84733304262297e-05	0.00163184376134895
GO_CELL_FATE_COMMITMENT	226	0.425309062971531	1.54403154369007	0.000463356234634782	0.000463098695749786	0.00681515394043715
GO_CELL_JUNCTION	1150	0.318129345803825	1.3513934991771	0.00135071551362809	0.00135623394998718	0.0172547958024176
GO_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	14	0.769681750553532	1.83822578448801	0.00160897910588753	0.00160854875636285	0.0196615174434765
GO_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	512	0.407708017507279	1.65064577688253	2.26554885962571e-10	2.22816098904843e-10	5.93774793297772e-09
GO_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	367	0.421933638843223	1.64168272316489	2.37585955467079e-05	2.37145471212452e-05	0.000429037494707299
