n	es	nes	pval.es	pval.nes	fdr
GO_14_3_3_PROTEIN_BINDING	18	0.508826564300217	1.26281486735766	0.199954144651352	0.199952738289777	0.491861993047198
GO_1_PHOSPHATIDYLINOSITOL_BINDING	18	-0.361119309337582	-0.897433018894535	0.624785623793137	0.624785562823624	0.880055092777276
GO_2_IRON_2_SULFUR_CLUSTER_BINDING	22	-0.283278061542151	-0.723327980489574	0.837560556600477	0.837562726979968	0.989804246017125
GO_2_OXOGLUTARATE_METABOLIC_PROCESS	19	-0.313303626737262	-0.779055522003638	0.776170049512221	0.776171390649861	0.966451198088171
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	14	-0.347660386584516	-0.803027655644201	0.735672529564989	0.735675935651828	0.94569444489513
GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY	13	0.451985968513966	0.991871085045964	0.476731694246407	0.476731270217636	0.772484851987821
GO_3_5_DNA_HELICASE_ACTIVITY	11	-0.293299647279668	-0.629676970936158	0.891452364866746	0.891454601998984	1
GO_3_5_EXONUCLEASE_ACTIVITY	49	-0.256516657982909	-0.784220520904653	0.828716876488074	0.828720354902343	0.986601489350481
GO_3_UTR_MEDIATED_MRNA_STABILIZATION	11	0.473238160030332	1.00688589675131	0.450330569074116	0.450329388410517	0.752371833334262
GO_4_HYDROXYPROLINE_METABOLIC_PROCESS	11	0.483994844046134	1.01595366944851	0.462284441819869	0.462284462053077	0.762299184018966
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	40	-0.342646011946975	-1.03274944837666	0.408329895069512	0.408328574714896	0.719592448023034
GO_5_3_EXONUCLEASE_ACTIVITY	11	-0.692035633567574	-1.51430268726501	0.05775673710448	0.057756077555115	0.23275541881203
GO_90S_PRERIBOSOME	23	0.423973459940233	1.07897874024152	0.364366735187275	0.364365966750194	0.677219308606393
GO_A_BAND	33	-0.207106128190345	-0.564440427732786	0.973609310990213	0.973611248904792	1
GO_ACETYLCHOLINE_BINDING	23	0.536038628946838	1.29335839067833	0.170288961298683	0.170287695351417	0.452367312841932
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	29	0.302426170336325	0.739884371923039	0.802959641051425	0.802961777039853	0.977231407728403
GO_ACETYL_COA_BIOSYNTHETIC_PROCESS	11	-0.525123617659165	-1.0845723561872	0.394301290175769	0.394301188548587	0.708162061764858
GO_ACETYL_COA_METABOLIC_PROCESS	25	-0.284979917610484	-0.743030301933958	0.83259861830898	0.832602172128318	0.987669068979882
