n	es	nes	pval.es	pval.nes	fdr
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	56	0.580003893100971	1.68374572467225	0.00225463687471439	0.00225232409468323	0.0335636003630882
GO_AGING	263	0.445211079135284	1.59419394563301	0.00203407771589781	0.00203599858839054	0.0310437310539135
GO_ALCOHOL_BIOSYNTHETIC_PROCESS	110	0.507045001763678	1.66737977333553	0.00305444329337556	0.00305248781086553	0.0425860907079893
GO_ALCOHOL_METABOLIC_PROCESS	347	0.403766025324096	1.48967660870085	0.00116134533223156	0.00116110875053232	0.0197388487590495
GO_AMINO_ACID_ACTIVATION	51	-0.487884656967234	-1.61397192941604	0.00138332905899319	0.0013828909570246	0.0225999527672859
GO_AMINOPEPTIDASE_ACTIVITY	42	-0.555056101987601	-1.74372179141958	3.24008577294865e-05	3.23671301720729e-05	0.000938646774990115
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	956	0.392985338019587	1.53073071676531	1.55431223447522e-15	1.55431223447522e-15	1.4146632583316e-13
GO_ANCHORED_COMPONENT_OF_MEMBRANE	151	0.505782494033856	1.66162353809966	0.00275239522920889	0.00275231270375242	0.0392353782057815
GO_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE	42	0.702275372737557	1.8228320980461	0.00146952304728531	0.0014695319029725	0.0236886941089518
GO_ANDROGEN_METABOLIC_PROCESS	29	0.702984968009761	1.76821709308876	0.00332816603191921	0.00332825998562203	0.0443468154840989
GO_ANGIOGENESIS	292	0.424113522380978	1.54542787216171	0.000714680573901005	0.000714227486882102	0.0138992428039293
GO_APOPTOTIC_MITOCHONDRIAL_CHANGES	56	0.614644287584	1.79361650278515	0.00266320847782497	0.00266231314992305	0.0383686731518317
GO_APOPTOTIC_SIGNALING_PATHWAY	288	0.444092240495658	1.6151595180494	3.88610240138476e-05	3.85314632377343e-05	0.00110121805079438
GO_AU_RICH_ELEMENT_BINDING	22	0.721515794265955	1.78397758949544	0.00303240274958527	0.00303214255303674	0.0424069866282869
