n	es	nes	pval.es	pval.nes	fdr
GO_14_3_3_PROTEIN_BINDING	18	0.587892065611019	1.40589362284163	0.0885559516755072	0.0885545605492681	0.35735933165721
GO_1_PHOSPHATIDYLINOSITOL_BINDING	18	0.245625597583258	0.582515210901208	0.938286661291392	0.938288796110261	1
GO_2_IRON_2_SULFUR_CLUSTER_BINDING	22	-0.367685506990377	-0.965996528982834	0.495224481441529	0.495223093847781	0.832494834581013
GO_2_OXOGLUTARATE_METABOLIC_PROCESS	19	-0.361895279641486	-0.976212708964771	0.499349018820769	0.499347587656494	0.835437777044055
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	14	0.298760129625929	0.673203651708696	0.852806282914773	0.852808735410586	1
GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY	13	0.520165945296188	1.11934961229891	0.347246866985306	0.347246207852686	0.709248359004335
GO_3_5_DNA_HELICASE_ACTIVITY	11	-0.238644497207178	-0.548014412539538	0.952293032406148	0.952294744219349	1
GO_3_5_EXONUCLEASE_ACTIVITY	49	-0.238782310617843	-0.760267824938652	0.864479370466194	0.864482385374324	1
GO_3_UTR_MEDIATED_MRNA_STABILIZATION	11	0.492939617976768	1.04053656624456	0.423011670792774	0.423010759681143	0.775819331223878
GO_4_HYDROXYPROLINE_METABOLIC_PROCESS	11	-0.450889862788693	-0.982532226003839	0.503172111932222	0.503172122351874	0.838595299588187
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	40	-0.357616220752294	-1.0973758566821	0.302623189468253	0.302620662928853	0.671280030703823
GO_5_3_EXONUCLEASE_ACTIVITY	11	-0.690044399517487	-1.50817192120538	0.0499898934691922	0.0499881687922572	0.258588714611497
GO_90S_PRERIBOSOME	23	0.259577298131559	0.649779046384779	0.904406867229788	0.904410017031981	1
GO_A_BAND	33	0.29064970369896	0.721982828269121	0.834018715362056	0.834021858368647	1
GO_ACETYLCHOLINE_BINDING	23	0.605186570980985	1.43624349808164	0.0966904609638524	0.0966903583888513	0.376309958802881
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	29	0.453757260458015	1.10151814931261	0.3594437106545	0.359443292404712	0.717809741586072
GO_ACETYL_COA_BIOSYNTHETIC_PROCESS	11	-0.470500742789545	-1.00105684296909	0.464439462373715	0.46443876253382	0.809552068105503
GO_ACETYL_COA_METABOLIC_PROCESS	25	-0.273796277272443	-0.744390997020383	0.827798698212464	0.827801737889305	1
GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY	33	0.451671046867916	1.17556753955798	0.248324370606667	0.24832358026894	0.616242841799889
