n	es	nes	pval.es	pval.nes	fdr
GO_14_3_3_PROTEIN_BINDING	18	-0.39598435402618	-1.02166492801372	0.427085655466529	0.427082355609655	0.70291877252333
GO_1_PHOSPHATIDYLINOSITOL_BINDING	18	0.234415988747956	0.649761488139473	0.890164614520882	0.89016841026776	0.976743437673231
GO_2_IRON_2_SULFUR_CLUSTER_BINDING	22	0.455206962970767	1.25046952169179	0.203702061775673	0.20370175026002	0.47635243023988
GO_2_OXOGLUTARATE_METABOLIC_PROCESS	19	-0.241348697393068	-0.627535742114304	0.923641691118332	0.923644220822704	0.991586925954105
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	14	-0.522862372860751	-1.14907373016536	0.309084482815712	0.309083951670438	0.59390950981592
GO_3_5_CYCLIC_GMP_PHOSPHODIESTERASE_ACTIVITY	13	-0.744653189391231	-1.54670060480038	0.0464243248617692	0.046422834266215	0.202825208587671
GO_3_5_DNA_HELICASE_ACTIVITY	11	-0.524985998832527	-1.22389532906689	0.22685880415019	0.226856989061401	0.506059000900942
GO_3_5_EXONUCLEASE_ACTIVITY	49	-0.205272051667069	-0.685856591462363	0.921804668807927	0.921809221364741	0.991050902326491
GO_3_UTR_MEDIATED_MRNA_STABILIZATION	11	-0.286925877464834	-0.67643032499292	0.870234824068758	0.870237466043859	0.9689901436232
GO_4_HYDROXYPROLINE_METABOLIC_PROCESS	11	-0.270301528294093	-0.563407761461588	0.94141347291531	0.941416554121492	0.999092271864113
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	40	-0.359185254286201	-1.18519812447264	0.231666661892634	0.231666058478902	0.511329321718911
GO_5_3_EXONUCLEASE_ACTIVITY	11	-0.721288670333694	-1.61279298188294	0.0234634014067033	0.0234623126233307	0.130133221282642
GO_90S_PRERIBOSOME	23	0.383419400382566	1.13362342485793	0.301809422780489	0.301807761147816	0.586054715680523
GO_A_BAND	33	-0.385119792967294	-1.05367272022523	0.392201165797383	0.392200491208702	0.671320863972705
GO_ACETYLCHOLINE_BINDING	23	-0.282158944290268	-0.514617632061552	0.955545905858289	0.955549009176141	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	29	-0.282158944290268	-0.51518929347543	0.962817575003229	0.962819301506746	1
GO_ACETYL_COA_BIOSYNTHETIC_PROCESS	11	-0.566556097416325	-1.28347555455272	0.190231433190745	0.190228726057964	0.459207635808907
GO_ACETYL_COA_METABOLIC_PROCESS	25	-0.487810575833232	-1.36807567634443	0.110782462512746	0.110782043149372	0.337488153111573
GO_ACETYLGALACTOSAMINYLTRANSFERASE_ACTIVITY	33	0.319550808788654	0.916234749466861	0.572331202084756	0.572330352664945	0.810732708199479
GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY	48	-0.266096888615865	-0.85798930016076	0.699460100412348	0.699462824813908	0.885413478615612
GO_ACETYLTRANSFERASE_ACTIVITY	102	0.219729860429769	0.86003605010488	0.745377800287296	0.745381190958472	0.908105056691733
GO_ACETYLTRANSFERASE_COMPLEX	99	0.235564711557608	0.925364534007922	0.616173188480144	0.616173955612177	0.840198420083363
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY	20	0.371663989477836	0.98090160578815	0.495851712394004	0.495850304176764	0.754501929374313
GO_ACIDIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	13	-0.322180916976456	-0.657508057043286	0.868381255317245	0.868383988626753	0.968688953305858
GO_ACIDIC_AMINO_ACID_TRANSPORT	20	-0.199834710743802	-0.478941544770951	0.977694872692768	0.977696462315943	1
GO_ACID_PHOSPHATASE_ACTIVITY	10	-0.654990914296688	-1.33827179393812	0.148163879773444	0.148162529821756	0.398904313426213
GO_ACID_SECRETION	65	0.290581276375962	0.909706065550364	0.586361982888814	0.586362684910766	0.820185739940301
GO_ACID_THIOL_LIGASE_ACTIVITY	19	-0.342995573053787	-0.814240706094243	0.718287755368346	0.718288450518807	0.89552672240942
GO_ACROSOMAL_MEMBRANE	21	0.342229784065369	0.770925012839575	0.75568098660288	0.755681452550227	0.912284966322132
GO_ACROSOMAL_VESICLE	90	0.242494063392056	0.808327843998473	0.749801693058096	0.749803287469518	0.910927491774869
GO_ACROSOME_ASSEMBLY	12	0.537915083429705	1.06716313014569	0.39865463497115	0.398653744193828	0.678826078683466
GO_ACROSOME_REACTION	16	-0.572448809283645	-1.0523334667474	0.441444712790492	0.441445164286143	0.713741354084387
GO_ACTIN_BASED_CELL_PROJECTION	180	0.239600686686931	0.985070225614721	0.49476574353724	0.494762989162194	0.753626863584601
GO_ACTIN_BINDING	392	0.318870738232838	1.49080122835992	0.00117868135365395	0.00117856554275897	0.0141212711178037
GO_ACTIN_CYTOSKELETON	443	0.328751707821891	1.54961147665904	3.90375699899081e-06	3.89333279959825e-06	6.84461810929371e-05
GO_ACTIN_CYTOSKELETON_REORGANIZATION	54	0.355012062223994	1.21773976910184	0.184049163544437	0.184047248473236	0.451106679141661
GO_ACTIN_DEPENDENT_ATPASE_ACTIVITY	12	0.53245461635523	1.10969927262307	0.362751880876986	0.362751387160758	0.646581908255461
GO_ACTIN_FILAMENT	69	0.272561110648584	0.98191847584744	0.486108272326968	0.486105245397272	0.746636900917237
GO_ACTIN_FILAMENT_BASED_MOVEMENT	92	0.370085871122696	1.29777497866842	0.125381494053698	0.125379867290622	0.361742688947605
GO_ACTIN_FILAMENT_BASED_PROCESS	449	0.368173957729584	1.74500146789409	0	0	0
GO_ACTIN_FILAMENT_BINDING	120	0.368392679642853	1.44367529805659	0.023077580302734	0.0230770091003466	0.129087019655064
GO_ACTIN_FILAMENT_BUNDLE	56	0.494081431890447	1.64997588213797	0.0133676658324776	0.0133676858918218	0.0882482337419885
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	48	0.4557763974196	1.52684950526236	0.0245561127630708	0.0245548706124963	0.13473728632122
GO_ACTIN_FILAMENT_ORGANIZATION	173	0.360817543450923	1.51682214923454	0.00614619339452649	0.00614643238390089	0.0517931185330992
GO_ACTIN_FILAMENT_POLYMERIZATION	22	0.351234154138681	0.904454637082094	0.594449761671856	0.594450403616356	0.825633325690527
GO_ACTININ_BINDING	28	0.628662299962956	1.72958882328835	0.0165478790348341	0.0165475749083837	0.102567182564347
GO_ACTIN_MEDIATED_CELL_CONTRACTION	73	0.37849356429265	1.15576926052751	0.277400597242545	0.27739958381072	0.5614514546775
GO_ACTIN_MONOMER_BINDING	24	0.580004884045511	1.45562278793945	0.0727988619778215	0.0727972072074121	0.266709594321899
GO_ACTIN_MYOSIN_FILAMENT_SLIDING	37	0.543162078062526	1.36295996893866	0.123823376905122	0.123822620680679	0.359243723163442
GO_ACTIN_NUCLEATION	23	-0.303186892900641	-0.842608768805874	0.671240823318633	0.671241695705205	0.871877974146896
GO_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	36	0.431886970578504	1.34182849446965	0.125896453535835	0.12589611922091	0.361957283627711
GO_ACTION_POTENTIAL	93	-0.281230028624864	-0.898699465470212	0.631315762483427	0.631314188032481	0.848889803939873
GO_ACTIVATING_TRANSCRIPTION_FACTOR_BINDING	56	0.458316458767314	1.5658888634677	0.0250153996469601	0.0250147175702653	0.136186116762725
GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	38	0.407491863103566	1.16468963466233	0.270936653562433	0.270935684187718	0.55776893688742
GO_ACTIVATION_OF_ANAPHASE_PROMOTING_COMPLEX_ACTIVITY	14	0.428759580098103	1.12975950756753	0.312762468711829	0.312760259697671	0.597123914273954
GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	94	0.234912513227899	0.886900733783624	0.681714315948753	0.681713970780225	0.877194065409853
GO_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	12	-0.476531728165485	-1.12899336859985	0.337514340264308	0.337513709356366	0.622611789240533
GO_ACTIVATION_OF_GTPASE_ACTIVITY	74	-0.245542210185922	-0.865521248916297	0.700261889459214	0.700263012582923	0.886129737645099
GO_ACTIVATION_OF_IMMUNE_RESPONSE	426	0.33414851443595	1.56891676538637	1.39856143441808e-05	1.39573433738382e-05	0.000232234865571003
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	203	0.342465766241244	1.48331344947401	0.0106469224117571	0.0106453692631872	0.0766856051678616
GO_ACTIVATION_OF_JUN_KINASE_ACTIVITY	34	0.275176024408259	0.829815834570989	0.715871931489062	0.715873221214531	0.894198164033461
GO_ACTIVATION_OF_MAPK_ACTIVITY	136	0.368593101741964	1.48034778377013	0.0209117590700439	0.0209129452153136	0.119818397077456
GO_ACTIVATION_OF_MAPKK_ACTIVITY	51	0.337347139056091	1.09487054715014	0.32465651397348	0.324654837587397	0.610161032653119
GO_ACTIVATION_OF_MAPKKK_ACTIVITY	10	0.468971827330179	1.08710501849495	0.366063464554476	0.366061766553239	0.649347403912907
GO_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY	16	0.615136458343648	1.60534565782466	0.0232670336733581	0.0232652971594285	0.129768137234845
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	26	0.411612563274806	0.994936287562798	0.47079589638709	0.47079468150256	0.737465972854845
GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	16	0.533946798800107	1.3379086792703	0.152239444837216	0.15223686372259	0.405957548222895
GO_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	278	0.36905822986797	1.67874777307097	1.47548639972683e-12	1.45494727377127e-12	3.68857233741068e-11
GO_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY	21	0.50759032499772	1.21671530030176	0.242848727697463	0.242847194513598	0.525375663184066
GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	11	0.513263836565183	0.99816205616902	0.496162080073924	0.496161855118505	0.754501929374313
GO_ACTIVE_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	170	0.260977551582529	1.04091619805341	0.378472264542346	0.378470701394947	0.660060948668424
GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	355	-0.183718726176167	-0.781816773722959	0.933868410944666	0.933871910677718	0.996688091371857
GO_ACTIVIN_BINDING	11	0.461899970118521	1.09277158297681	0.357047699891061	0.357046490289899	0.640666348159914
GO_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	21	0.551012211973502	1.4216421069765	0.097278367418919	0.0972773703587612	0.315411514448013
GO_ACTOMYOSIN	61	0.467364033349439	1.60499660698211	0.014121533037073	0.0141203122877417	0.0912567666123524
GO_ACTOMYOSIN_STRUCTURE_ORGANIZATION	76	0.411559911212726	1.41611208315926	0.0601519643564706	0.0601519782101781	0.236878490191682
GO_ACUTE_INFLAMMATORY_RESPONSE	72	0.347996874241474	1.11028436909133	0.307151929318673	0.307148908111292	0.591179081203455
