baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	64.2327333985794	0.0397781680127407	0.164617550110337	0.241639897970046	0.809059203917579	0.927212103216028
A2M	48.9993563780265	0.162849868084015	0.178615865675294	0.911732378690592	0.361909614912442	0.6677463964358
A4GALT	93.8368159744934	-0.0852979016453786	0.143898234440915	-0.592765449672019	0.553338133112018	0.803823693189354
AAAS	263.513792990529	-0.0213791212650448	0.0882767876087825	-0.242182818883159	0.808638507386736	0.927212103216028
AACS	261.774352156611	0.0391673816264123	0.0842690431938583	0.464789680076336	0.642082078815688	0.847527561536605
AAGAB	279.095381908246	0.0443333841860525	0.0866307197331078	0.511751308573159	0.608825071849193	0.831658069610374
AAK1	1620.37915327498	-0.11783576432491	0.0607769418098341	-1.93882352115723	0.0525228310075033	0.251825829446679
AAMDC	65.9287864201152	-0.189634803478772	0.16632693504811	-1.14013285595577	0.254230955455994	0.565828644347097
AAMP	523.099837514771	0.0524111590363395	0.0784016342234734	0.668495747001248	0.503817195808652	0.773879886302812
AAR2	281.751380823746	-0.0689575704886627	0.086307711941463	-0.798973451357767	0.424305806291501	0.717504554593182
AARS	1860.21542730589	-0.0120090762827667	0.0427104512288413	-0.281174184239414	0.77857680424112	0.914412653179617
AARS2	519.230274436012	-0.0553023505222256	0.0618902556129214	-0.893555051187727	0.371560004969426	0.676584456500484
AARSD1	195.036571203869	-0.0786836912322326	0.139011755699883	-0.566021850713872	0.571378926682252	0.81386050198566
AASDH	77.1030921014236	0.0988244560100726	0.155578301867345	0.63520719035959	0.525293294313451	0.786521872612459
AASDHPPT	300.593259671395	0.0022384561496411	0.080007306287702	0.0279781466656523	0.977679580757566	0.992141269282468
AATF	1573.36020660866	0.109933471622687	0.0491660150797532	2.23596464843372	0.0253540869296671	0.169367538226805
AATK	55.0202393708881	-0.150607613448879	0.168001722443757	-0.896464698445573	0.370004626202847	0.675173425936821
ABAT	46.5381399257777	-0.213886699538983	0.18451158117756	-1.15920474028758	0.246372739707577	0.557410844498124
ABCA1	907.884609639388	-0.0886339185801268	0.0739152885045673	-1.1991283586027	0.230478038712323	0.54168824506985
ABCA2	1570.22137339017	0.0185859983044575	0.043324957715194	0.428990569976699	0.667930087305842	0.863135007187479
ABCA3	205.085615588474	-0.0063062180003483	0.0920395498526955	-0.0685163933378757	0.945374570745009	0.981099522390129
ABCA5	139.749302875868	-0.132856541861579	0.115297815854364	-1.15229018760767	0.249201847772731	0.559704194472349
ABCA7	206.939009542343	0.0214178487492567	0.0991668657947996	0.215977873028432	0.829004995291331	0.936343104655674
ABCA9	60.1856714328207	-0.525275994313934	0.171873142207335	-3.05618427386566	0.00224173435395151	0.0341504965543481
ABCB1	43.7776289941005	0.576491451546409	0.198320667294825	2.90686522695787	0.0036507044860428	0.0477985751680695
ABCB10	584.100803203435	0.0467443467757692	0.0701309756792499	0.66652925220317	0.505072872667648	0.773879886302812
ABCB4	462.916850586591	0.175904115300985	0.0761876925241275	2.30882586771188	0.0209532459851596	0.150781201501051
ABCB7	392.507013003831	0.0635439223633527	0.0671685810299028	0.946036396616202	0.34413002250523	0.652231408851462
ABCB8	96.4620772001678	0.0462920209834649	0.126717521750451	0.365316653482455	0.714875048530191	0.885096781394937
ABCB9	139.295443790128	-0.167914780387456	0.115511650306055	-1.45366099386993	0.146040317521623	0.431929356427123
ABCC1	725.825830516819	-0.0490614612496623	0.0639180557847683	-0.767568109625663	0.44274381461233	0.731823439166088
ABCC10	177.205903848031	-0.161974967400231	0.10953376559826	-1.47876745143878	0.1392024777629	0.421259672210515
ABCC4	498.329880426749	0.0595165313197343	0.0634587254509082	0.937877823685198	0.348307200943456	0.656143803177197
ABCC5	91.2830487221707	0.0325738968921389	0.134105066390256	0.242898331650994	0.808084158024679	0.927212103216028
ABCC6	94.0696173483532	-0.430070866684965	0.132968095475439	-3.23439141658161	0.00121902264017555	0.022346748866728
ABCC9	178.015267765251	-0.175145397308863	0.141305629255335	-1.23947926371979	0.215168063441828	0.523693813573951
ABCD1	618.815595893462	0.0861365104442805	0.0654857076581179	1.31534824200075	0.188392891843384	0.490826143745309
ABCD3	616.406014750461	-0.0412477708293529	0.0563730561613064	-0.731693004390718	0.46435596722455	0.74735084638625
ABCD4	162.069284821921	0.138069693465095	0.107743847801589	1.2814624341183	0.200031286620082	0.503783296497028
