"names"	"baseMean.CTLvsPMA.all"	"log2FoldChange.CTLvsPMA.all"	"lfcSE.CTLvsPMA.all"	"stat.CTLvsPMA.all"	"pvalue.CTLvsPMA.all"	"padj.CTLvsPMA.all"	"baseMean.PMA_vs_MOTScPMA.all"	"log2FoldChange.PMA_vs_MOTScPMA.all"	"lfcSE.PMA_vs_MOTScPMA.all"	"stat.PMA_vs_MOTScPMA.all"	"pvalue.PMA_vs_MOTScPMA.all"	"padj.PMA_vs_MOTScPMA.all"
"ABHD2"	"ABHD2"	953.999706450248	0.0447874331094795	0.0524950704590501	0.85317407363834	0.393562778597704	0.580428460543578	951.858355289105	0.205082151411587	0.0549059318112348	3.7351547391392	0.000187599798888362	0.00548797382690085
"AC007325.1"	"AC007325.1"	85.1309220935748	-0.0721451616158578	0.152374088556173	-0.473473950193712	0.635875081696483	0.78438787773512	59.4485595950867	-0.812001823733109	0.188779989145996	-4.30131301207531	1.69789017460152e-05	0.000846220078378559
"AC012313.1"	"AC012313.1"	302.435356272049	0.0722293519108661	0.0868416556004552	0.831736237770293	0.405557841451323	0.591344442813161	259.830069882551	-0.253350567953894	0.0867940769027572	-2.91898453206368	0.00351173648456164	0.0466344743032084
"AC012314.10"	"AC012314.10"	118.965096628023	-0.0974404738630334	0.385368496055841	-0.252850128799616	0.800384028807893	0.893761718884911	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
"AC012314.17"	"AC012314.17"	118.965096628023	-0.0974404738630334	0.385368496055841	-0.252850128799616	0.800384028807893	0.893761718884911	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
"AC012314.29"	"AC012314.29"	118.965096628023	-0.0974404738630334	0.385368496055841	-0.252850128799616	0.800384028807893	0.893761718884911	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
"AC012314.31"	"AC012314.31"	118.965096628023	-0.0974404738630334	0.385368496055841	-0.252850128799616	0.800384028807893	0.893761718884911	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
"AC012314.4"	"AC012314.4"	118.965096628023	-0.0974404738630334	0.385368496055841	-0.252850128799616	0.800384028807893	0.893761718884911	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
"AC012314.40"	"AC012314.40"	118.965096628023	-0.0974404738630334	0.385368496055841	-0.252850128799616	0.800384028807893	0.893761718884911	144.14170036758	0.812435280751595	0.175885673612255	4.61911003930105	3.85389445532501e-06	0.000246955109780112
"AL355482.1"	"AL355482.1"	199.465164170092	0.086471249729816	0.109766181208703	0.787776788603085	0.430827280374913	0.614505535279784	162.280162734627	-0.450979736727366	0.123261755305077	-3.65871584102608	0.000253482206074215	0.0067277562690063
"ALPK1"	"ALPK1"	270.36872084816	-0.0208163698933386	0.0876867174063146	-0.237394790329323	0.812350530950711	0.900047970425393	222.60453925789	-0.288531734185072	0.0898078188264222	-3.21276853124267	0.00131462191251204	0.0236573342978207
"ALS2CL"	"ALS2CL"	97.5289372259169	-0.0793420509715298	0.139336501177872	-0.569427610861597	0.569065983556255	0.733383807411421	75.6284244154928	-0.424472838473996	0.14514226737757	-2.92452947127925	0.0034497741153972	0.0461150268339686
"ANKRD13D"	"ANKRD13D"	1075.67681650295	0.0358006577554758	0.0446735500965761	0.801383764623166	0.422909511176211	0.607941842746501	917.846453091377	-0.24108496634746	0.0527722657986159	-4.56840279072844	4.91454905604395e-06	0.000302132505673849
"ANKRD36"	"ANKRD36"	1413.34299868283	0.00678887755325432	0.0495104022121273	0.137120226254018	0.890935765235427	0.944324852230399	1218.6279807718	-0.178049573166038	0.0575658831303729	-3.09297041031749	0.00198163892590641	0.031600992698424
"B4GALNT3"	"B4GALNT3"	50.4553628333138	-0.149845927194871	0.196922422540687	-0.760938877663417	0.446693575882597	0.628951291267494	56.3800790085895	0.661679364345953	0.185716109943623	3.56285388783351	0.000366844882372764	0.00886798077927453
"CHMP4A"	"CHMP4A"	643.695902689482	0.0488108024554109	0.0615389315633717	0.793169481747444	0.427679085541162	0.611745805951387	645.20630696264	0.213463442631959	0.0675313674989444	3.16095246605654	0.0015725415858231	0.0267486673397522
"COX7A2"	"COX7A2"	749.264817029279	-0.0401262645967335	0.0529088201491131	-0.758404071072564	0.448209121470656	0.630556913337895	722.318337822665	0.190567946190048	0.0534709887582949	3.56395029557941	0.000365315159746507	0.00884866379937989
"DBI"	"DBI"	1604.1100666157	-0.0278889170709299	0.0675961083821833	-0.412581696467615	0.679913113758075	0.816776993155908	1582.6972070922	0.243170842453523	0.0746841654822533	3.25598928344866	0.00112998016404467	0.0212502946688586
"ERVW-1"	"ERVW-1"	246.436351416291	-0.0212686683197072	0.116039857481805	-0.183287611526429	0.854572354312074	0.923439997289374	194.713177370194	-0.423959575480412	0.134614426585132	-3.14943640317997	0.00163585709331139	0.0274783151970795
"FOXO4"	"FOXO4"	50.7514639835662	0.138090953613364	0.176871952181876	0.780739692811022	0.434955610159011	0.618856395449379	60.5508256120169	0.580042956251506	0.161619147168485	3.58894949276538	0.000332013150798844	0.00819055688841361
"GAB2"	"GAB2"	645.068435248997	0.00424192527005222	0.0654960079018227	0.0647661652357619	0.94836018109786	0.972767395971748	544.967693837438	-0.237947036466204	0.063856330383834	-3.72628735531666	0.00019432086163977	0.00557110380761678
"GADD45A"	"GADD45A"	373.203447132177	0.0177399059378544	0.0700616758789797	0.253204133576496	0.800110472443827	0.893761718884911	385.823511130087	0.320057028476415	0.0789280761988208	4.05504661826784	5.01243051441803e-05	0.00197095928441938
"GGNBP2"	"GGNBP2"	855.361102635349	-0.0507749530925489	0.0506659548913688	-1.00215131050848	0.316270519410884	0.501472408598105	715.804580956953	-0.208283974687031	0.0537503970103786	-3.87502207001026	0.000106615036268422	0.00361684791105562
"GMDS-DT"	"GMDS-DT"	159.769508322582	-0.120040609438136	0.119752706730463	-1.0024041436351	0.316148441675291	0.501318259417014	124.170857457836	-0.36583451979331	0.118208026685235	-3.09483653565638	0.0019692139318939	0.0314632584817507
"GNB1L"	"GNB1L"	201.846814918163	-0.00625660742332999	0.104113193308298	-0.0600942803166456	0.952080545378107	0.974303971108758	164.916602675247	-0.331060314986916	0.0982478093822117	-3.36964576684858	0.000752648708843947	0.0154235677035686
"INSYN2B"	"INSYN2B"	74.0536060211324	0.0625156066414106	0.165290904442211	0.378215648661221	0.705270401446782	0.833129579778424	54.1049746166175	-0.813591770631177	0.19579033666487	-4.15542352339782	3.2468553742994e-05	0.00142473425500507
